College,Curriculum/Major,Freshmen_M,Freshmen_F,Sophomores_M,Sophomores_F,Juniors_M,Juniors_F,Seniors_M,Seniors_F,Specials_M,Specials_F,Grand_Total
Human Sciences Total,,168,580,181,726,239,911,306,1149,8,22,4290
Liberal Arts and Sciences,Intensive English and Orientation Program LAS,,,,,,,,,39,27,66
,Liberal Arts and Sciences Specials (Non-Degree),,,,,,,,,133,111,244
,Advertising,11,12,16,34,40,29,33,49,,,224
,Anthropology,3,6,4,6,5,7,5,14,,,50
,Biochemistry,21,16,12,8,29,18,18,22,,,144
,Bioinformatics and Computational Biology,,3,3,3,3,3,2,1,,,18
,Biological/Pre-Medical Illustration,,,,,,4,3,11,,,18
,Biology,31,62,38,56,39,54,61,75,,,416
,Biophysics,,1,1,1,1,1,2,2,,,9
,Chemistry,23,16,7,11,23,20,27,26,,,153
,Communication Studies,3,16,8,30,19,44,37,55,,,212
,Computer Science,8,,58,3,63,6,106,13,,,257
,Earth Science,,2,,1,3,1,4,1,,,12
,Economics,9,2,21,5,17,6,21,10,,,91
,English,9,24,17,27,16,52,36,69,,,250
,Environmental Science (LAS),12,8,4,4,10,8,12,9,,,67
,Genetics (LAS),4,17,10,12,12,15,17,23,,,110
,Geology,6,5,7,8,14,5,11,3,,,59
,History,18,10,42,17,40,21,71,28,,,247
,Interdisciplinary Studies,43,34,57,35,77,43,60,29,,,378
,Journalism and Mass Communication,14,57,31,42,47,45,31,53,,,320
,Liberal Arts and Sciences- Open Option,1,,,1,,1,,,,,3
,Liberal Studies,,,,1,18,19,35,38,,,111
,Linguistics,1,3,6,10,5,17,6,18,,,66
,Mathematics,21,20,22,14,37,18,32,34,,,198
,Meteorology,18,9,12,11,12,7,19,5,,,93
,Music,9,5,15,15,5,12,24,22,,,107
,Open Option (LAS),325,343,88,99,24,20,2,6,,,907
,Performing Arts,,5,,6,6,7,12,12,,,48
,Philosophy,2,1,5,,9,4,9,2,,,32
,Physics,21,5,16,5,19,3,24,3,,,96
,Political Science,15,15,34,20,42,24,42,19,,,211
,Pre-Biological/Pre-Medical Illustration,4,11,2,17,2,7,3,8,,,54
,Pre-Computer Science,146,16,82,10,40,5,15,4,,,318
,Pre-Liberal Studies,6,2,8,3,14,5,14,4,,,56
,Preparation For Human Medicine,17,40,10,7,1,,1,1,,,77
,Preparation For Law,5,8,1,1,,,,,,,15
,Preprofessional Health Programs,10,26,3,5,1,,1,1,,,47
,Psychology,28,111,36,106,58,142,65,166,,,712
,Public Relations,4,20,11,56,17,69,7,48,,,232
,Religious Studies,1,,1,3,2,2,3,1,,,13
,Sociology,1,7,5,7,15,11,11,16,,,73
,Software Engineering,70,9,48,5,44,,43,4,,,223
,Speech Communication,,4,3,4,3,2,1,6,,,23
,Statistics,11,13,4,2,11,10,10,19,,,80
,Technical Communication,,,2,1,9,4,3,6,,,25
,Women's Studies,,1,,1,1,5,1,4,,,13
,World Languages and Cultures,1,7,6,3,7,10,10,29,,,73
Liberal Arts and Sciences Total,,932,972,756,716,860,786,950,969,172,138,7251
Grand Total,,4112,2921,3668,2740,3917,3141,5093,3928,281,233,30034
,,,7033,,6408,,7058,,9021,,514,30034
